,Topic,time,text_language,job_type,external_url,phone_contact,delta_salary
2220,0.0,2020,pl,None,no,yes,14.0
2221,0.0,2020,pl,C Manufacturing,no,yes,-12.8
2222,0.0,2020,pl,C Manufacturing,no,yes,-12.8
2223,0.0,2020,nl,M Other specialised business services,no,yes,-15.46
2224,0.0,2020,pl,M Other specialised business services,no,yes,-15.46
2225,0.0,2020,pl,C Manufacturing,no,yes,-12.8
2226,0.0,2020,pl,F Construction,no,yes,-12.7
2227,0.0,2020,pl,C Manufacturing,no,yes,-12.3
2228,0.0,2020,pl,F Construction,no,yes,-11.61
2229,7.0,2020,pl,C Manufacturing,no,yes,-14.3
2230,0.0,2020,pl,H Transportation and storage,no,yes,-13.060000000000002
2231,3.0,2020,pl,C Manufacturing,no,yes,-14.0
2232,0.0,2020,pl,M Other specialised business services,no,yes,-15.46
2233,0.0,2020,pl,G Wholesale and retail trade,no,yes,-8.870000000000001
2234,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2235,0.0,2020,en,C Manufacturing,no,yes,-13.3
2236,6.0,2020,nl,H Transportation and storage,no,yes,-9.97
2237,0.0,2020,pl,C Manufacturing,no,yes,-13.3
2238,0.0,2020,nl,C Manufacturing,no,yes,-14.450000000000001
2239,0.0,2020,pl,"A Agriculture, forestry and fishing",no,yes,-6.119999999999999
2240,0.0,2020,pl,G Wholesale and retail trade,no,yes,-5.370000000000001
2241,0.0,2020,pl,G Wholesale and retail trade,no,yes,-6.870000000000001
2242,3.0,2020,pl,C Manufacturing,no,yes,-14.8
2243,0.0,2020,pl,H Transportation and storage,no,yes,-13.350000000000001
2244,0.0,2020,pl,C Manufacturing,no,yes,-13.700000000000001
2245,0.0,2020,pl,F Construction,no,yes,-11.7
2246,0.0,2020,pl,G Wholesale and retail trade,no,yes,-5.850000000000001
2247,7.0,2020,pl,F Construction,no,yes,-13.11
2248,0.0,2020,pl,C Manufacturing,no,yes,-12.3
2249,0.0,2020,pl,F Construction,no,yes,-12.16
2250,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2251,0.0,2020,pl,G Wholesale and retail trade,no,yes,-8.370000000000001
2252,0.0,2020,pl,C Manufacturing,no,yes,-15.510000000000002
2253,0.0,2020,pl,F Construction,no,yes,-9.7
2254,0.0,2020,pl,H Transportation and storage,no,yes,-13.310000000000002
2255,0.0,2020,pl,M Other specialised business services,no,yes,-19.020000000000003
2256,0.0,2020,pl,"A Agriculture, forestry and fishing",no,yes,-6.419999999999998
2257,0.0,2020,pl,C Manufacturing,no,yes,-15.510000000000002
2258,0.0,2020,pl,C Manufacturing,no,yes,-13.3
2259,0.0,2020,pl,"A Agriculture, forestry and fishing",no,yes,-6.419999999999998
2260,0.0,2020,pl,None,no,yes,12.0
2261,0.0,2020,pl,C Manufacturing,no,yes,-9.8
2262,0.0,2020,pl,None,no,yes,57.0
2263,0.0,2020,pl,None,no,yes,14.5
2264,0.0,2020,pl,M Other specialised business services,no,yes,-19.020000000000003
2265,0.0,2020,pl,H Transportation and storage,no,yes,-11.850000000000001
2266,0.0,2020,pl,F Construction,no,yes,-11.7
2267,6.0,2020,nl,F Construction,no,yes,-12.7
